# confusables.txt
# Ngày: 22/07/2025, 05:49:37 GMT
# © 2025 Unicode®, Inc.
# Unicode và Logo Unicode là các nhãn hiệu đã được đăng ký của Unicode, Inc. tại Hoa Kỳ và các quốc gia khác.
# Để biết các điều khoản sử dụng và giấy phép, vui lòng xem https://www.unicode.org/terms_of_use.html
#
# Cơ chế bảo mật Unicode cho UTS #39
# Phiên bản: 17.0.0
#
# Để biết tài liệu và hướng dẫn sử dụng, vui lòng xem https://www.unicode.org/reports/tr39
#
05AD ; 0596 ; MA # ( ֭ → ֖ ) GIỌNG HEBREW DEHI → GIẤC HEBREW TIPEHA #

05AE ; 0598 ; MA # ( ֮ ​​→ ֘ ) DẤU DO THÁI ZINOR → DẤU DO THÁI ZARQA #

05A8 ; 0599 ; MA # ( ֨ → ֙ ) DẤU DO THÁI QADMA → DẤU DO THÁI PASHTA #

05A4 ; 059A ; MA # ( ֤ → ֚ ) NHẠC DO THÁI MAHAPAKH → NHẠC DO THÁI YETIV #

1AB4 ; 06DB ; MA # ( ᪴ → ۛ ) KẾT HỢP BA CHẤM → BA CHẤM NHỎ CAO KIỂU Ả RẬP #
20DB ; 06DB ; MA # ( ⃛ → ۛ ) KẾT HỢP BA CHẤM TRÊN → CHỮ Ả RẬP NHỎ CAO BA CHẤM # →᪴→

0619 ; 0313 ; MA # ( ؙ → ̓ ) DAMMA NHỎ TIẾNG Ả RẬP → DẤU PHẨY KẾT HỢP PHÍA TRÊN # →ُ→
08F3 ; 0313 ; MA # ( ࣳ → ̓ ) ARABIC STALL HIGH WAW → COMBINING COMMAVE ABOVE # →ُ→
0343 ; 0313 ; MA # ( ̓ → ̓ ) KẺ KẾT HỢP HY LẠP KORONIS → DẤU PHẨY KẾT HỢP Ở TRÊN #
0315 ; 0313 ; MA # ( ̕ → ̓ ) DẤU PHẨY KẾT HỢP PHÍA TRÊN BÊN PHẢI → DẤU PHẨY KẾT HỢP PHÍA TRÊN #
064F ; 0313 ; MA # ( ُ → ̓ ) DAMMA Ả RẬP → DẤU PHẨY KẾT HỢP Ở TRÊN #

065D ; 0314 ; MA # ( ٝ → ̔ ) DAMMA ĐẢO NGƯỢC TIẾNG Ả RẬP → KẾT HỢP DẤU PHẨY ĐẢO NGƯỢC Ở TRÊN #

059C ; 0301 ; MA # ( ֜ → ́ ) DẤU NHẤN TIẾNG DO THÁI GERESH → DẤU NHẤN KẾT HỢP #
059D ; 0301 ; MA # ( ֝ → ́ ) DẤU NHẤN TIẾNG DO THÁI GERESH MUQDAM → DẤU NHẤN KẾT HỢP # →֜→
0618 ; 0301 ; MA # ( ؘ → ́ ) DẤU FATHA NHỎ TRONG TIẾNG Ả RẬP → DẤU NHẤN KẾT HỢP # →َ→
0747 ; 0301 ; MA # ( ݇ → ́ ) DÒNG CHẢO SYRIAC PHÍA TRÊN → DẤU NHẤN KẾT HỢP #
0341 ; 0301 ; MA # ( ́ → ́ ) DẤU THANH NHẠY KẾT HỢP → DẤU NHẠY KẾT HỢP #
0954 ; 0301 ; MA # ( ॔ → ́ ) DEVANAGARI DẤU NHẤN CAO → DẤU NHẤN CAO KẾT HỢP #
064E ; 0301 ; MA # ( َ → ́ ) DẤU FATHA TIẾNG Ả RẬP → DẤU NHẤN KẾT HỢP #

0340 ; 0300 ; MA # ( ̀ → ̀ ) DẤU THANH TRẮNG KẾT HỢP → DẤU NHẤN TRẮNG KẾT HỢP #
0953 ; 0300 ; MA # ( ॓ → ̀ ) DẤU MỘ DEVANAGARI → DẤU MỘ KẾT HỢP #

030C ; 0306 ; MA # ( ̌ → ̆ ) KẾT HỢP CARON → KẾT HỢP BREVE #
A67C ; 0306 ; MA # ( ꙼ → ̆ ) KAVYKA KẾT HỢP CYRILLIC → BREVE KẾT HỢP #
0658 ; 0306 ; MA # ( ٘ → ̆ ) ARABIC MARK NOON GHUNNA → COMBINING BREVE #
065A ; 0306 ; MA # ( ٚ → ̆ ) DẤU NGUYÊN ÂM TIẾNG Ả RẬP CHỮ V NHỎ Ở TRÊN → DẤU NỐI # →̌→
036E ; 0306 ; MA # ( ͮ → ̆ ) CHỮ CÁI LATIN THƯỜNG KẾT HỢP V → CHỮ CÁI KẾT HỢP # →̌→
0945 ; 0306 ; MA # ( ॅ → ̆ ) DEVANAGARI NGUYÊN KÝ CANDRA E → KẾT HỢP BREVE #
11B66 ; 0306 ; MA # ( 𑭦 → ̆ ) SHARADA NGUYÊN TÂM KÝ CANDRA E → KẾT HỢP BREVE # →ॅ→

06E8 ; 0306 0307 ; MA # ( ۨ → ̆̇ ) TIẾNG Ả RẬP NHỎ GIỮA TRƯA → KẾT HỢP BREVE, KẾT HỢP DẤU CHẤM TRÊN # →̐→
0310 ; 0306 0307 ; MA # ( ̐ → ̆̇ ) KẾT HỢP CANDRABINDU → KẾT HỢP BREVE, KẾT HỢP DẤU CHẤM TRÊN #
0901 ; 0306 0307 ; MA # ( ँ → ̆̇ ) DEVANAGARI SIGN CANDRABINDU → COMBINING BREVE, COMBINING DOT ABOVE # →̐→
0981 ; 0306 0307 ; MA # ( ঁ → ̆̇ ) KÝ HIỆU TIẾNG BENGALI CANDRABINDU → KẾT HỢP, DẤU CHẤM KẾT HỢP PHÍA TRÊN # →̐→
0A81 ; 0306 0307 ; MA # ( ઁ → ̆̇ ) KÝ HIỆU GUJARATI CANDRABINDU → KẾT HỢP, DẤU CHẤM KẾT HỢP PHÍA TRÊN # →̐→
0B01 ; 0306 0307 ; MA # ( ଁ → ̆̇ ) ORIYA SIGN CANDRABINDU → KẾT HỢP BREVE, KẾT HỢP DOT TRÊN # →̐→
0C00 ; 0306 0307 ; MA # ( ఀ → ̆̇ ) KÝ HIỆU TELUGU KẾT HỢP CANDRABINDU Ở TRÊN → KẾT HỢP BREVE, KẾT HỢP DẤU CHẤM Ở TRÊN # →ँ→→̐→
0C81 ; 0306 0307 ; MA # ( ಁ → ̆̇ ) KANNADA SIGN CANDRABINDU → COMBINING BREVE, COMBINING DOT ABOVE # →ँ→→̐→
0D01 ; 0306 0307 ; MA # ( ഁ → ̆̇ ) MALAYALAM SIGN CANDRABINDU → KẾT HỢP BREVE, KẾT HỢP DOT TRÊN # →ँ→→̐→
114BF ; 0306 0307 ; MA # ( 𑒿 → ̆̇ ) TIRHUTA SIGN CANDRABINDU → COMBINING BREVE, COMBINING DOT ABOVE # →ঁ→→̐→

1CD0 ; 0302 ; MA # ( ᳐ → ̂ ) ÂM ĐIỆU VEDIC KARSHANA → KẾT HỢP DẤU NHẤN VÒNG TRÒN #
0311 ; 0302 ; MA # ( ̑ → ̂ ) KẾT HỢP DẤU TRẮNG ĐẢO NGƯỢC → KẾT HỢP DẤU NHẤN VÒNG TRÒN #
065B ; 0302 ; MA # ( ٛ → ̂ ) DẤU NGUYÊN ÂM Ả RẬP CHỮ V NHỎ ĐẢO NGƯỢC Ở TRÊN → DẤU VÒNG KẾT HỢP #
07EE ; 0302 ; MA # ( ߮ → ̂ ) NKO KẾT HỢP THANH GIẢM DÀI → KẾT HỢP NHẤN ÂM VÒNG TRÒN #
A6F0 ; 0302 ; MA # ( ꛰ → ̂ ) BAMUM COMBINING MARK KOQNDON → COMBINING CIRCUMFLEX ACCENT #

05AF ; 030A ; MA # ( ֯ → ̊ ) DẤU HIỆU TIẾNG HÊBƠ VÒNG TRÒN MASORA → VÒNG KẾT HỢP PHÍA TRÊN #
06DF ; 030A ; MA # ( ۟ → ̊ ) CHỮ Ả RẬP NHỎ CAO TRÒN SỐ KHÔNG → VÒNG KẾT HỢP PHÍA TRÊN # →ْ→
17D3 ; 030A ; MA # ( ៓ → ̊ ) KÝ HIỆU KHMER BATHAMASAT → VÒNG KẾT HỢP Ở TRÊN #
309A ; 030A ; MA # ( ゚ → ̊ ) KÝ HIỆU ÂM BÁN THANH KẾT HỢP KATAKANA-HIRAGANA → VÒNG KẾT HỢP PHÍA TRÊN #
